Biography,DateOfBirth,FirstName,Nationality,Role,SecondName
"Hassan Housny was born in the Al Qal’aa neighborhood of Cairo, his father was a construction contractor. Housny’s mother passed away when he was only six years old and he was educated at the Radwaniyeh Elementary school. Housny participated in theater productions at his school,[أزمة قلبية]",19 June 1936,Hassan,Egypt,Actor,Hosny
,NULL,Giulia,null,MusicComposer,Tagliavia
,NULL,Luc,France,Editor,Forveille
,NULL,Amr,Egypt,Cinematographer,Elsherbiny
,18 September 1981,Moustapha,Egypt,MusicComposer,El Halawany
,NULL,مريم,Egypt,Actor,سعد الدين
,NULL,Shadi,Egypt,MusicComposer,El Husseiny
,NULL,Mark,Egypt,Producer,Lutfi
,NULL,Shazza,null,Actor,Moharm
,NULL,Amr,Egypt,Actor,Hosny
,NULL,Rasha,Egypt,Actor,Majdy
, 8 August 1954,Nabil,Egypt,MusicComposer,Ali Maher
,NULL,Amgad,Egypt,Cinematographer,riyad
,NULL,Marco,null,Producer,Alessi
,NULL,Morcous,Egypt,Director,Adel
"Firyal Youssif is a Tunisian actress, her real name is Firyal Farageh. Firyal began her acting career in Tunisia with a television series titled “Qamrat Sayyidi Mahrous” (“Master Mahrous’ Cabin”). She subsequently spent 12 years acting on Tunisian television before transferring",11 December 1980,Feryal,Tunisia,Actor,Youssef
,NULL,Cécile,null,Producer,Lestrade
, 6 February 1987,Khaled,Egypt,Casting,Safwat
,28 June 1972,Tamer,Egypt,Director,Bassiouni
,12 May 1994,Ahmed,Egypt,ArtDirector,El-Mokhtar
,NULL,Mohammed,Egypt,Producer,Nasif
,14 March 1992,Khaled,Egypt,ArtDirector,Eldeeb
,21 February 1985,Mahmoud,Egypt,Producer,Atif
,NULL,Alaa,Egypt,Producer,elhawary
,NULL,اسامة,Egypt,Actor,عصام
,NULL,عبدالله,Egypt,Actor,عبدالغني
,NULL,islam,Egypt,Producer,elmaghawry
,NULL,essam,Egypt,Producer,saber
"Ahmed Farouq Falawkas is a rising actor, his father is renowned actor Farouq Falawkas. Ahmed’s mother is a Turkish citizen and his wife, Rabia, is Moroccan but holds Spanish citizenship who works as a fashion model. The couple have one son, Seif Al Deen, who is between 2 to 3",22 June 1981,Ahmed,Egypt,Actor,Falawkas
"Amir Teaima is an Egyptian lyricist. He was born in Sharqiya governorate, but lived most of his life in port Said, before finally moving to Cairo. Teaima started his career as an accountant, but retired totally in 2002 to focus on writing. Since then, he has been one of",20 April 1974,Amir,Egypt,MusicComposer,Teima
,NULL,Nadeem,Egypt,Actor,Hesham
,NULL,Hesham,Egypt,Producer,Abdelkhalek
"Sherif is an Egyptian director, screenwriter and producer. He graduated from the Higher Institute for Cinema in 1982 and he is the son of director Sa’ad ‘Arafa in addition to being an elder brother to director ‘Amr ‘Arafa. Sherif began his cinema career in 1987 when he directed",25 December 1960,Sherif,Egypt,Director,Arafa
,NULL,Al-Masa,Egypt,Distributor,Media Production
,NULL,كريم,Egypt,Actor,الغمرى
,NULL,Amal,Egypt,Actor,Eid
,NULL,Tamer,Egypt,Actor,Mohsen
,NULL,Mohamed,Egypt,Actor,Hassib
,NULL,عمرو,Egypt,Actor,وحيد
,NULL,إسلام,Egypt,Actor,السيد
,NULL,Nour,Egypt,Actor,Mahmoud
,NULL,منير,Egypt,Actor,محمود 
,NULL,فهد,Egypt,Actor,إبراهيم
,NULL,وليد,Kuwait,Actor,رضا
,NULL,Ahmed,Egypt,Actor,Shawky
,NULL,منصور,Egypt,Actor,عبدالوهاب
, 9 October 1980,ashraf,Egypt,Actor,el sharkawy
,NULL,Mustafa,Egypt,Actor,Al-Ridi
,NULL,Ahmed,Egypt,Actor,Mostafa
,NULL,عمر,Egypt,Actor,عيسى
,16 August 1981,Mohamed,Egypt,Actor,Al-Ahmedy
,NULL,Hani,Egypt,Actor,Al Metnawi
,NULL,Muhammad,Egypt,Actor,Nasr
,NULL,Ehab,Egypt,Actor,Mabrouk
,19 October 1963,Omar,Egypt,Actor,Zahran
,10 July 1990,Asmaa,Egypt,Actor,Abou El Yazeed
"Hend Sabry is a Tunisian actress. She was born in Kebili province in Tunisia, and holds a degree in Intellectual Property. She started to become a recognized actress since she appeared in the films “Mousem Alregal” (Men's Season) and “Samt Alqosur” (Silence of the Palaces) by",20 November 1979,Hend,Tunisia,Actor,Sabry
,NULL,Amir,Egypt,Actor,Salah Al-Din
, 9 December 1978,Mohamed,Egypt,Actor,Gomaa
"Ahmed Salah hosny is an Egyptian actor, music composer and former soccer player. He was born in 1979, and started as a soccer player in Al-Ahly club, and soon moved to several countries as a professional player. In 2008 he retired from soccer and started composing music for",11 July 1979,Ahmed,Egypt,Actor,Salah Hosny
,NULL,Alaa,Egypt,Actor,Khaled
"Sherif Mounir is an Egyptian actor who was born in Mansoura, Dakahlia governorate in 1959. Following the advice of poet Salah Jahin, Mounir enrolled in the acting department of the Higher Institute of Theatrical Arts. He started his career in the mid 1980s appearing in the",14 May 1959,Sherif,Egypt,Actor,Mounir
,NULL,حاتم,Egypt,Actor,عبدالجليل
,NULL,Farah,Egypt,Actor,Shadi Srour
"Mohamed Farrag is an Egyptian actor. He was born in 1982. He joined the High Cinema Institute, but was forced to quit it and join the faculty of commerce in Cairo. He also joined Khaled Galal's acting workshop in Cairo's creativity center, and participated in the acting",15 November 1982,Mohamed,Egypt,Actor,Farrag
,NULL,Ahmed,Egypt,Actor,El Sherbiny
,15 September 1991,Martina,Egypt,Actor,(Martina Abdo)
"Eyad Nassar is a Jordanian actor and director. He was born in Amman in 1974, and worked as a teacher, before switching his career to art. He started by working as an assistant director in many television series, after which he directed theater plays. Nassar's acting talent", 9 November 1971,Eyad,Jordan,Actor,Nassar
,27 October 1976,Ahmed,Egypt,Actor,El-Tohami
,NULL,Penelope,null,Producer,Bortoluzzi
,15 June 1993,Hamed,Egypt,Actor,Al-Sharrab
,18 December 1969,Stefano,Italy,Writer,Savona
"Egyptian actor, Maha Abou Ouf is the sister of Dr. Ezzat Abou Ouf the actor and one of the Abou Ouf’s who formed the 4M band at the end of 1970s. 4M performed their original tracks, covered many others and stage played “Mousheera ala baab al-wazeer"" (Mousheera at Al-Wazeer’s",28 November 1959,Maha,Egypt,Actor,Abou Ouf
, 6 November 1978,Yasser,Egypt,Actor,El Tobgy
"Edward is an Egyptian actor and he started his career singing and playing guitar in a band called Gypsy. He also produced many of their music videos. He was cast by the famous director Osama Fawzy to play a small role in his film ""Beyheb El Cinema,"" which won him a", 7 December 1973,Edward,Egypt,Actor,
,NULL,Ahmed,Egypt,SoundEngineer,Sabbour
Salah El Geheiny is an Egyptian architect and self-taught screenwriter. He participated in several screen writing workshops and as a script developer in the United Artists group. His debut feature script “Elnafaq” (The Tunnel) won first place at Abdel Hay Adib's screen,18 December 1980,Salah,Egypt,Writer,El-Geheiny
"Reham Essam is an Egyptian wardrobe designer. She debuted in 2009 in the film ""Elbeih Romansy"", then worked in :Nour Einy"" and ""Bon Soiree"" the following year. Her notable works include ""Omar we Salwa"", Esh Elbolblol"" and ""Meraty wa Zawgaty"".",NULL,Reham,Egypt,CostumeDesigner,Essam
,NULL,Taher,Egypt,Distributor,media Production
,NULL,Ramy,Egypt,GraphicDesigner,Alaa El-Din
,NULL,يوسف,Egypt,Cinematographer,لبيب
,NULL,Tony,Egypt,Director,Nabiah
,NULL,Gamal,Egypt,Actor,Fouad
,NULL,Synergy,Egypt,Producer,Art Production
,31 January 1976,Morsi,Egypt,SoundEngineer,Abdel Moghny
"Salwa Mohamed Ali is an Egyptian actress who initially gained recognition playing the ""aunt"" role on television. She's had a number of supporting roles on television soaps, and has participated in many stage productions. ",29 October 1964,Salwa,Egypt,Actor,Mohamed Ali
,12 October 1966,Ahmed,Egypt,SoundEngineer,Gaber
,23 January 1983,Victor,Egypt,Cinematographer,Credi
,NULL,عاصم,Egypt,ArtDirector,علي
,NULL,Loai,Egypt,Writer,El Sayed
,24 April 1971,Badria,Egypt,Actor,Tolba
,NULL,Hilal,Syria,Producer,Arna'ut
, 6 August 1988,Shorouk,Egypt,Producer,El Attar
,16 February 1991,Alicia,Canada,Actor,Dea
,NULL,شيماء,Egypt,Actor,شكري
"Mohamed El Saway is a comedian Egyptian actor who participated in many plays, movies and Riddles show with the late actor Abdel Moniem Madbouly including ""Gedo Abdo"" and ""Al Omda Elaly"".",12 June 1956,Mohamed,Egypt,Actor,El Sawy
,15 July 1990,muhammad,Egypt,Actor,alii
,NULL,عمرو,Egypt,Actor,حسن
,NULL,محمد,Egypt,Actor,مؤمن
,21 March 1951,Hassan,Egypt,Actor,El Adl
,NULL,Ahmad,Egypt,Actor,Haiba
"Passant Shawky is a young Egyptian actress born in Cairo. She studied Business Management at the AUC (American University of Cairo). In 2009, she traveled to Argentine to participate in the TV show “Fear Factor Xtreme.” she started her acting career in 2011 through the theatrical",NULL,Passant,Egypt,Actor,Shawky
,NULL,حمبولا,Egypt,Actor,
,NULL,رغدة,Egypt,Actor,عبدالرازق
, 1 May 1982,Mohamed,Egypt,Actor,Fekry
,NULL,سالي,Egypt,Actor,
,NULL,Hazem,Egypt,Actor,Fouad
,NULL,Raghad,Lebanon,Actor,Salama
,NULL,Kareem,Egypt,Actor,Dossoqi
,24 February 1959,Beth,US,Actor,Broderick
,18 June 1990,Ashraf,Egypt,Director,Hamed
"Mohamed Sallam is an Egyptian actor. He graduated from the faculty of commerce in Cairo, where he started acting on stage. His film debut was in the 2006 film ""El Rahina"" (The Hostage). He then starred in the hit play ""Ahwa Sada"" (Black Coffee) in 2009. He",15 December 1983,Mohamed,Egypt,Actor,Sallam
Nahed is an Egyptian actress who has assumed several minor roles in Egyptian cinema.,27 May 1987,Nahed,Egypt,Actor,El Sebai
,NULL,Mohamed,Egypt,Actor,Farouk
,NULL,يوسف,Egypt,Actor,سليمان
, 2 December 1954,Hesen,Egypt,Actor,Abo Hagag
, 4 April 1942,Awatef,Egypt,Actor,Helmy
"Tamim Abdou is a Tunisian film, stage and television actor. His relationship to acting began with stage productions in his hometown of Siliana, Tunisia, and despite beginning law school in Tunisia, he decided to travel to Iraq to work as a translator, after which he went to", 1 April 1958,Tamim,Tunisia,Actor,Abdou
,NULL,ريماس,Egypt,Actor,يونس
,16 August 1986,Ayman,Egypt,Writer,Uttar
,NULL,Heba,Egypt,Actor,Samir
,NULL,إيمان,Egypt,Actor,مرسي
Reda Idryes is an Egyptian actor famous for his comic supporting roles. He participates with many actors where he always proves himself.,26 January 1960,Reda,Egypt,Actor,Idrees
,NULL,حمادة,Egypt,Actor,حميدة
,21 June 1965,Sayed,Egypt,Actor,Salah
,NULL,Amr,Egypt,Actor,Ali
,NULL,Ahmad,Egypt,Actor,Rajab
,NULL,Ahmad,Egypt,Actor,Wajdi
,NULL,عبدالنبي,Egypt,Actor,أتو
,NULL,Ashraf,null,Actor,Ahmed
,NULL,Seif,Egypt,Actor,El-Nasr Salem
,NULL,Mostafa,Egypt,Actor,Morsy
,NULL,Fayrouz,Egypt,Actor,Morshdy
,27 March 1960,Hamdy,Egypt,Actor,Elramly
Yasmin Mohamed Abd Al Aziz was born in Cairo (where her father worked as a hotelier). She enrolled in (the Modern Academy) in Maadi and began her television career at the age of five with appearances in commercials. Yasmin was (recruited into the industry through a friend of her,16 January 1980,Yasmin,Egypt,Actor,Abdulaziz
, 1 April 1988,Hamdy,Egypt,Actor,Al-Merghany
,28 August 1991,Abdallah,Egypt,GraphicDesigner,Sabry
,NULL,Oscar,Egypt,Producer,for Art Recordings
,NULL,Mahmoud,Egypt,Casting,fouda
,NULL,Amr,Egypt,Editor,AKef
,NULL,Ahmed,Egypt,Writer,Adel Sultan
,NULL,Bassant,Egypt,Director,El Shafie
,29 August 1981,Mohammed,Egypt,Director,El-Tahawy
,NULL,Badr,Egypt,Actor,sabry
,NULL,Ahmad,Egypt,Actor,Abdellah
,NULL,Mohamed,Egypt,Actor,Taha
,NULL,Maryam,Egypt,Actor,Nour
,NULL,Omar,Palestine,Writer,Sharqawi
"Donia Maher is an Egyptian actress. She was born in Cairo in 1979, and studied acting at the High Institute of Theatrical Arts. After her graduation, she acted on stage in several plays, until her breakthrough came with her role in the independent film “Al Khorug lel Nahar”",15 November 1979,Donia,Egypt,Actor,Maher
,NULL,Fabio,Italy,Director,Lucene
,14 November 1973,Mahmoud,Egypt,Actor,Fares
,NULL,نسرين,Egypt,Editor,فهيم
,NULL,Mohamed,Egypt,SoundEngineer,Ghanem
,NULL,المجموعة,Egypt,Distributor,الفنية المتحدة
,NULL,Diaa,Egypt,Director,Habib
"Ahmed graduated from the directing division at the Institute of Cinema and worked as an assistant director. Ahmed worked as an assistant director for 12 years during which he worked alongside several renowned directors including Shereef Arafeh, Nader Galal, Amr Arafeh, Sa’eed",27 September 1970,Ahmed,Egypt,Director,Samir Farag
,18 April 1978,Marwa,Egypt,CostumeDesigner,Abdelsamie
"Ziad El Weshahy is an Egyptian Film director. He has worked as an assistant director since 1997, mainly in feature films and TV series.", 3 September 1980,Ziad,Egypt,Director,El Weshahy
,NULL,Nabil,Egypt,Producer,Sobhy
,NULL,Emad,Egypt,Actor,Bakhit
,20 October 1982,Ashraf,Egypt,Actor,Hamdy
"Mahmoud El Lozy is an Egyptian stage director, actor, playwright, and professor of drama and theatre at the American University in Cairo. After getting a B.A. and an M.A. in English and comparative literature from AUC, he moved to the United States where he earned his PhD in", 9 September 1958,Mahmoud,Egypt,Actor,El Lozy
,NULL,Huda,Egypt,Actor,Al Saify
,NULL,Karim,Egypt,Cinematographer,al-Hakim
,29 November 1988,Mohamed,Egypt,Actor,Elrokh
,NULL,Thabet,Egypt,Actor,El Rayek
,NULL,Majdi,Egypt,Actor,Abdulhaleem
,NULL,محمود,Egypt,Actor,فايز
"Sherif is an Egyptian actor who is married to artist Dalia Mostafa. Sherif is also the younger brother of artist Manal Salama. He has several works including the cinema productions “Dars Khosousy” (“Private Lesson”), “Damm al-Ghazal” (“Deer’s Blood”) and “Murgan Ahmed Murgan”.",12 July 1979,Sherif,Egypt,Actor,Salama
"Menna Shalaby is one of the brightest stars in the younger generation of Egyptian actors. She was born on July 24, 1981 in Cairo. She is the daughter of the famous dancer and performer Zizi Mustafa. Shalaby displayed a passion for performing from a very early age, no doubt due to",24 July 1982,Menna,Egypt,Actor,Shalaby
,NULL,ام,Egypt,Actor,داليا
,NULL,Ahmad,Egypt,Actor,Thabit
,15 June 1978,Ihab,Egypt,Actor,Badr al-Din
,NULL,Li,Egypt,Actor,Li Qassem
,NULL,Ali,Egypt,Actor,Hamdi
,17 November 1960,Afaf,Egypt,Actor,Mustafa
,NULL,Ahmed,Egypt,Actor,Taha
,NULL,Shamam,Iraq,Actor,Al Hassan
, 1 September 1989,Noha,Egypt,Actor,saleh
,NULL,Mohamed,Egypt,Actor,Ghoneim
"Sahar El Sayegh is an Egyptian actress who was born in 1990. She began acting in TV serials when she was a child, the most famous of which was “Om Kolthom” which starred Sabreen in 1999. In the series, Sahar played Om Kolthoom as a young girlه. The role was Sahar’s “big break", 1 January 1990,Sahar,Egypt,Actor,Al Sayegh
,NULL,Reda,Egypt,Casting,Elgamal
,NULL,Film,null,Producer,of Egypt
"An Egyptian author and writer, who started his career at the end of the 90’s. He was famous for his movie “Why Did You Make me Love you” , but his real success came after the “Al Daly” trilogy, starring Nour El Sherif in 2007. ",15 January 1970,Walid,Egypt,Writer,Youssef
,NULL,Ayman,Egypt,Producer,Abdel Baset
"Despite his great talent and the fact that his career took-off to a promising start with an involvement with Youssef Chahine, Amr was nonetheless assigned minor roles in his first few years in cinema. 
Thereafter, Amr proved his talents as a comedy actor when he performed in",10 January 1963,Amr,Egypt,Actor,Abdul Gelil
Ahmed Abdel Baset is an Egyptian director. He started working in media in 1999 as an advertisement director for the Nile television and radio network. He then started directing commercials and music videos in Egypt and the Arabian Gulf countries in 2002. ,24 June 1979,Ahmed,Egypt,Producer,Abdel Baset
,10 August 1997,Youssef,Egypt,Actor,Waleed
,NULL,Ashraf,Egypt,Producer,Khalil
"Dalal Abdelaziz Mohamed is an Egyptian performer. She earned her bachelor’s degree in agriculture from Zaqaziq University. Thereafter, she decided to move to the capital.
She was first noticed by Nour Al Damerdash and she worked with the “Adwa Al Masrah” trio in the theatrical",17 January 1960,Dalal,Egypt,Actor,Abdelaziz
,NULL,RAW,null,Producer,Entertainment
,21 September 1986,May,Egypt,Actor,Saleh
,NULL,Moussa,Egypt,Producer,Eissa
"Tareq El Eryan is a Palestinian-American director and producer living and working in Cairo, Egypt. He received his high eduction in Egypt, before moving to The United States to study film in the University of South Illinois. He then returned to Egypt and started his career as a",12 September 1963,Tareq,Palestine,Director,El Eryan
"Hesham Ismail is an Egyptian actor. He was born in Saudi Arabia in 1977, and studied commerce in Helwan University, where he graduated in 1998. In 2007 he joined Khaled Galal's acting troupe, and participated in their play ""Ahwa Sada"" (Black Coffee), from which he",30 March 1977,Hesham,Egypt,Actor,Ismail
,NULL,Maya,Egypt,Actor,Maghrabi
,NULL,Hany,Egypt,Actor,Mazloum
"Asser Yaseen was raised in a middle class home. His father is from Sohag (but lived) in Alexandria. His mother, Mona Al Dagheidy, is from Port Said.
He has a younger brother called Islam and they are both graduated from the faculty of engineering.",25 February 1981,Asser,Egypt,Actor,Yassine
,NULL,عصام,Egypt,Actor,عبيد
,NULL,احلام,null,Actor,بن عمارة
,NULL,فهمي,Egypt,Actor,حسان
,NULL,منة,Egypt,Actor,حافظ
,NULL,Engy,Egypt,Actor,Kamal
,NULL,Ahmed,Egypt,Actor,Sanad
,NULL,Ahmad,Egypt,Actor,Abdulsalam
,NULL,Samar,Tunisia,Actor,El Hamadi
,10 December 1975,Mostafa,Egypt,Actor,Gaafar
,NULL,Islam,Egypt,Actor,Ibrahim
Sayed is an Egyptian actor. His debut came in the cinematic production “Ahlam Saghira” (“Minor Dreams”). Thereafter Sayed appeared in a variety of minor roles.,16 November 1950,Sayed,Egypt,Actor,Ragab
"Nesreen Amin is an Egyptian actress who was born in Cairo in 1984. She graduated from the Department of Communications from the Faculty of Applied Arts from the University of Helwan, then joined the Actors’ Studio in order to study acting. After she was cast in a number of", 9 March 1984,Nesreen,Egypt,Actor,Amin
