Duration,Name,Rating,Total_Revenue,discription,genre,release_Date
128 minutes,Welad Rizk 2: A'wdat Osoud Al-Ard,+12,100753422,"Three years after the events of the first part, the four brothers try their best to keep their oath to stay away from the life of crime. As one unexpected incident takes place in their lives,",Drama, 8 August 2019
61 minutes,Kilo 64,NULL,Null,NULL,Biography,NULL
75 minutes,No one is there	,NULL,Null,"On the streets of Cairo, Ahmed is helping a girl he doesn't know to get an abortion, while he's trying to come up with the money, he gets involved with a group led by a girl who wants to",Thriller,16 April 2019
85 minutes,Alhelm Albaed,All Ages,Null,"A look at the touristic city of Sharm El Sheikh in the aftermath of the 2011 Arab Spring and the Egyptian revolution, highlighting the devastating effects on tourism by depicting resort employees as",Documentary,18 February 2019
126 minutes,Samouni Road,NULL,Null,NULL,Documentary,16 April 2019
NULL,Intense Practice to Improve Performance,NULL,Null,NULL,Short,NULL
88 minutes,Nawrt Masr,All Ages,Null,"Hamed comes back home after fifteen years in Kuwait. When he reunites with his college friends, they go through many comedic situations together. ",Comedy, 4 April 2018
85 minutes,The Cave,+18,Null,"A look into how people deal with each other and with the circumstances they face, as well as the role of friendship during these hardships, demonstrating the meaning of true friendship and how",Drama,21 February 2018
90 minutes,Souq Algouma'a,+16,Null,An inside look at the Friday Market that is frequented by poor people each week that offers a close-up look at merchants and how they deal with customers.,Drama,19 August 2018
96 minutes,Mohamed Hussein,All Ages,Null,"When world-renowned artist Sherif Kamal returns to Egypt after 37 years abroad, his step-daughter refuses to allow him to complete his last painting and takes revenge on him. However, she soon learns",Action, 4 June 2019
116 minutes,Harb Karmooz,+12,Null,"In the forties, a girl gets raped by a group of English soldiers. One of the English soldiers is held at the Karmouz police station in the custody of General Youssef Al-Masry. When General Adams has",Action,16 June 2018
96 minutes,El Badla,All Ages,67339111,"When two friends decide to go to a costume party, they pick police uniforms to don as their costumes, only for their old classmates to mistake them for actual policemen, which puts them in many",Drama,20 August 2018
90 minutes,Khalawees,All Ages,Null,"Aly Hassan, a five-year old child, gets arrested for a name mix-up with a wanted criminal. His father rushes to free him, and clear the misunderstanding, while there’s a crazy media campaign to prove",Comedy,17 January 2018
97 minutes,Yomeddine,All Ages,1093737,"In the wake of his wife's death, a middle-aged Coptic leper named Beshay, who grew up in the confines of the leper colony, embarks on a journey across Egypt with his young Nubian friend, Obama,",Adventure,24 September 2018
114 minutes,Bani Adam,+12,Null,"A thriller about the businessman Adam who faces criminal charges until the police enlist him for a critical mission. Will he deliver, or show an unexpected hidden side?",Drama,18 August 2018
NULL,رمسة كريم‎,NULL,Null,NULL,Drama,NULL
110 minutes,Gedo Nahnoh,All Ages,Null,"When their wealthy grandfather dies, a group of young men discovers that he didn't leave them any money, only a will telling them to search for a hidden treasure. When they discover that their",Comedy,17 January 2018
123 minutes,GAREMET AL IMMOBILIA,+12,646020,"Kamel Helmi is a famous writer who lives in the famous Immobilia building. When he starts feeling lonely, he invites Samah, a girl he met on Facebook, to his apartment in an attempt to ease his",Thriller,20 February 2019
NULL,The Titans,NULL,Null,NULL,Comedy,NULL
NULL,Doctor Bes Bes,NULL,Null,NULL,Comedy,NULL
NULL,Sargy margy,NULL,Null,NULL,Short,NULL
102 minutes,Shar Assal,All Ages,Null,"Yusuf and Dalia discover the high costs of their wedding, so they decide to use the money to go on a honeymoon instead. They choose the Malaysian capital of Kuala Lumpur, and when they get there,",Drama,21 March 2018
128 minutes,El Kenz 2: Al-Hobb wa Al-Maseer,All Ages,6141568,"The sequel resumes with Hassan setting out to find the treasure buried in his father, Bashir Al-Katatni's mansion. The clues in the ancient papyrus documents are within the stories of Hatshepsut",History,10 August 2019
NULL,Is It Chemistry؟,NULL,Null,NULL,Comedy,NULL
100 minutes,Kedba Bidaa (Masricani),+12,Null,"Ahmed falls in love with an American girl called Ashley whom he takes to Cairo for a family visit, causing many paradoxes due to the difference in customs and traditions. Ashley is surprised to learn",Comedy,17 October 2018
50 minutes,The Wardrobe Man,NULL,Null,"Bassem Yousri finds himself in the West Jutland area, in Denmark, on a research mission about the life of the peculiar Wardrobe Man; Kristian Vandet Jørgensen a hermit who lived in his wardrobe by the",Documentary,17 February 2019
109 minutes,AL-Abla Tamtam,All Ages,Null,"A group of prisoners breaks out of prison using an underground tunnel that leads them into a school. When they discover where they are, they decide to remain in the school until further notice, but",Comedy,16 June 2018
NULL,Wezo School,NULL,Null,NULL,Comedy,NULL
19 minutes,The 90th generation,NULL,Null,NULL,Documentary,NULL
NULL,Singers About Food,NULL,Null,NULL,Comedy,NULL
98 minutes,Layl/ Khariji,+16,Null,"Moe, Tutu and Mustafa, cross paths during unusual circumstances. They get involved into events that were not taken into account by any of them, and witness a hidden and unknown side of the city.",Drama,19 December 2018
99 minutes,Lelyt Hana w Sorour,+12,Null,"Reda is a professional swindler who claims to be a businessman called Souror so that he could steal an antique statue. When he meets Hana, he claims that he is working for the General Intelligence",Thriller,16 June 2018
104 minutes,Qalb Ommoh,All Ages,Null,"When Magdy is critically injured in a fight, the doctors struggle to save his life when he requires a heart transplant. But Younis' mother dies and the doctors transplant her heart to Magdy who",Comedy,16 June 2018
97 minutes,"We're Sorry, Sir",+12,Null,"A drama that depicts the life of a group of young people as they decide to be of use to society, but their benevolence is met with malevolence and threats. ",Comedy, 9 May 2018
NULL,جرح سطحي,NULL,Null,NULL,NULL,NULL
113 minutes,Al-Markib,NULL,Null,"A group of friends are spending a day out in the sea on a boat when unforeseen circumstances force them to stay longer than anticipated. While waiting to be rescued, each one of them reveals their",Drama,22 June 2011
9 minutes,فيها حاجة بنا,NULL,Null,NULL,Short,10 December 2012
97 minutes,Eza'et Hobb,NULL,Null,"A rom-com movie, that shows how people choose voluntarily to hide behind phony masks  so as to cover their real personalities.",Romance,28 June 2011
9 minutes,Got a Minute?,NULL,Null,The story revolves around the unemployment problem and how society has turned into a group of sellers without a single buyer. We find the protagonist being subjected to many harassments from sellers,Short, 1 January 2011
117 minutes,Tek Tek Boom,All Ages,Null,"Tika, the owner of a toy store, lives in a local area. When the Egyptian revolution of 2011 breaks out, he rallies the youth of his neighborhood to form a neighborhood watch to stand up to thugs.",Drama,30 August 2011
NULL,SIRA,NULL,Null,NULL,Documentary,24 November 2011
40 minutes,Green Mirage,NULL,Null,NULL,NULL,NULL
47 minutes,al-Share3 Lana,Family (all ages),Null,This title discusses the climate of corruption which was prevalent prior to the revolution. Screenwriter Nasser ‘Abd Al Rahman had concluded writing the script some time ago so that director Khaled,Documentary,NULL
96 minutes,Asmaa,NULL,Null,"When Asmaa contracts AIDS, she refuses to surrender to her illness and rather chooses to fight, whether by seeking treatment or by inspiring hope in those afflicted by the same disease. ",Drama, 7 December 2011
100 minutes,Hasal Kh'eer,All Ages,Null,"Qamar is a belly dancer who moves into building inhabited by several families. When she moves in, she is bombarded by the husbands' attention. The husbands are Fawzi, a tax authority employee, an",Drama,30 May 2012
107 minutes,Reklam,+18,Null,"Shadyia is forced to marry a drug dealer, and from here her life begins to decline after her husband is arrested.  She meets three other girls ,Dawlat, Shukryia and Suzy, who are also going a dark",Thriller,15 February 2012
93 minutes,Game Over,All Ages,Null,"The film revolves around the story of the arrogant presenter Liqa (Yousra) , who leaves her job for her son Amr (Mohammad Nour), who insists on marrying his sweetheart Nada (Mai Ezz eldin) a waitress",Comedy,16 June 2012
90 minutes,Shaqawet Banat Shubra,NULL,Null,"Two women work at a hospital owned by a corrupt businessman who trades in human organs, and tests new medications on patients. When one of the doctors discovers this, she attempts to inform the",Thriller, 2 January 2012
47 minutes,Ana wel Agenda,Family (all ages),Null,NULL,Documentary,16 May 2012
46 minutes,Such A Reviving Apartment,NULL,Null,NULL,Comedy,22 May 2012
87 minutes,Asham,NULL,Null,"Set against the backdrop of the unrest during the pre-revolution period of January 25, 2011, by following the stories of six relationships in different stages that express ambition, happiness and",Drama,19 June 2013
82 minutes,Met'eb and Shadya,All Ages,Null,"Met'eb and Shadya meet at an Islamic saint commemorating celebration (mawlid). As they face the obstacles of everyday life together, their chance encounter blossoms into young love.",Drama, 7 June 2013
NULL,The Places of Silent,NULL,Null,NULL,NULL,NULL
85 minutes,Haflet Montasaf El-Leil,All Ages,Null,"Shahd throws a party in her villa and invites many of her friends, everyone is surprised by strange things that starts happening, as Shahd locks them inside the villa to find out the woman who had an",Crime,26 December 2012
87 minutes,Harag we Marag,All Ages,Null,"This social fantasy revolves around a love triangle as Zaki and Mounir try desperately to win the heart of Manal, while all three struggle to realize their dreams and meet their basic needs in spite",Drama, 5 June 2013
NULL,Eastern Gate,NULL,Null,NULL,NULL, 1 January 2013
NULL,kobri el khashab,NULL,Null,NULL,NULL,NULL
108 minutes,Ala Gothety,All Ages,Null,"Raoof (Ahmed Helmy) is an interior designer who falls into a coma, his soul gets suspended between the two worlds. While floating around, he discovers what his loved ones truly think of him and tries",Drama,16 January 2013
117 minutes,Febrayer Al-Aswad,All Ages,Null,"Hassan is a college professor and his brother Tarek is a chemist who ends up working at a pickle factory. When tragedy strikes, both brothers consider either leaving the country with their families or",Comedy, 6 March 2013
105 minutes,Sameer Abu Elneel,All Ages,8500773,Samir Abo El-Nil (Ahmed Makki) lives in a local neighborhood where he gets into problems with its residents because of his stinginess . When his cousin Hussein Abo El-Nil (Hussein Al-Imam) leaves him,Comedy,24 April 2013
105 minutes,Kalby Dalily,All Ages,Null,"A police officer from Upper Egypt is transferred to Marina, where he runs into some problems. As he tries to prove himself to his boss, he starts to fall for a girl who is his exact opposite in",Comedy, 7 August 2013
NULL,تاج السريان,NULL,Null,NULL,Religious,NULL
136 minutes,Moondog,NULL,Null,NULL,Documentary,NULL
NULL,The night of Eid,NULL,Null,NULL,Drama,NULL
64 minutes,In The Shadow Of A Man,Unrated,Null,"Four women talk about how is it to be a woman in Egypt, a country in the wake of a revolution, they also speak their aspirations and fight for the future.",Documentary,12 February 2012
45 minutes,Knocking on the Doors,NULL,Null,"A film about the complicated relationships between a group of people of different backgrounds, asking a number of big questions over its five acts.",Short, 1 January 2012
90 minutes,Jews of Egypt,All Ages,Null,"This documentary, from director Amir Ramsis, presents a nuanced picture of the Egyptian Jewish community in the decades leading up to the 1956 war. An examination of changing identities and how a",Documentary,27 March 2013
NULL,The Pinter,NULL,Null,NULL,Thriller,NULL
116 minutes,Baad Al Mawkea,All Ages,Null,"Reem is a young political activist who works for an advertisement company. As she tries to uncover the truth behind the incide of the Battle of the Camel, she accompanies her friend Farah to Nazlet Al",Drama,19 September 2012
85 minutes,Mohema Fi Film Adeem,All Ages,2569730,"A fame-seeking young man who considers himself a great talent imagines that he is spending his evenings with the late singer Abdel Halim Hafez who wants him to join him in a play. All the while, his",Comedy,24 October 2012
90 minutes,Abdo Motah,All Ages,Null,"Abdo (Mohamed Ramadan) is a thug working in the drug trade after losing his parents, using force to impose royalties on the people of the neighborhood, while Angham (Houria Farghali) is looking to",Adventure,24 October 2012
100 minutes,Tita Rahiba,NULL,Null,"After his grandfather's death, Raouf's domineering grandmother returns to Egypt, and her stay with her grandson stands in the way of his aspirations. How will he cope?",Drama,19 August 2012
110 minutes,Papa,+18,Null,"The story of Dr. Hazem, a gynecologist, as he crosses paths with the interior designer Farida and they soon get married, only for him to learn that he is sterile, the thing that encourages him to",Romance,19 August 2012
7 minutes,I'm Going to Space,NULL,Null,"A short film that made it to the Cairo 48 Hour Film Project, featuring a young man whose sole purpose in life is to travel to space. As he decides to finally fulfill his dream, he visits friends and",Short, 1 January 2012
96 minutes,Al-Khoroug Lel-Nahar,All Ages,Null,"A struggling poor family at one of Cairo's local neighborhoods, where a disabled father, a nurse mother, and daughter having problems expressing her feelings ,after becoming thirty years old and",Drama,23 April 2014
30 minutes,Primus Stove,NULL,Null,NULL,Short, 1 September 2013
53 minutes,Fil Tariq Le West El Balad,All Ages,Null,NULL,Documentary,15 March 2012
NULL,هيصة,NULL,Null,NULL,NULL,NULL
62 minutes,Reporting A Revolution,NULL,Null,NULL,Documentary, 9 February 2012
111 minutes,My Brother the Devil,NULL,Null,The film concerns two brothers (Mo and Rashid) who become Arab-British gangsters in London. They have exceptional courage that allows them to keep well in the wars of the streets.,Drama, 9 November 2012
100 minutes,Wa Baad El Tofan,All Ages,Null,A psychologist conducts a study on a group of corrupt ministers to uncover the psychological reasons that led them to this path. As she follows the different stages of their lives and the events that,Thriller,18 December 2013
106 minutes,Hazz Sa'id,NULL,Null,"Sa'ied is trying to wed his fiancé Samah but he has trouble finding an apartment. When he finally reserves an apartment in a government project, the 2011 revolution breaks out and he is unable to",Comedy,21 March 2012
100 minutes,Banat ElA'm,NULL,Null,"Three girls live with their grandmother, are looking to sell the palace in which they live, but their grandmother warns them against it. They get cursed and turn into three men, and throughout the",Comedy,26 January 2012
11 minutes,Liberto Suspendue,NULL,Null,NULL,Short,NULL
NULL,"Ayoun el Horeya, Sharia el Moot",NULL,Null,NULL,Documentary, 3 December 2012
81 minutes,Pantalon Juliet,All Ages,315220,"A young man becomes jealous when his girlfriend wears tight trousers, which becomes the cause of all their differences, and through that idea it addresses the problems that happen between couples in",Romance,11 April 2012
90 minutes,Lamah albasar,NULL,Null,"Fouad is a very ambitious young man who meets the experienced and much older businessman, Gaber. Fouad becomes certain that Gaber will help him fulfill his dreams and goes with him to a trip but he",Drama,20 June 2012
NULL,Arweqat El Kasr,NULL,Null,"It's a narrative documentary movie that reveals Mubarak's last days as an Egyptian president, illustrating all the glamorous revolution events starting from the 25th of January up till the",Drama,NULL
82 minutes,Bartita,NULL,Null,The film revolves around a girl who suffers psychological problems because of her family. She meets a crew of characters who help her change her life.,Thriller,24 October 2012
130 minutes,El Almany,NULL,Null,"A registered felon, known as Al-Almany, lives in the slums and tries to find his way out by any means necessary, including criminal acts and harassment. ",Thriller,26 June 2012
NULL,A cry of regret,NULL,Null,"""Nagwa Fouad"" is playing the role of a mother who is traveling to the pilgrimage, leaving her young daughter with her decay and ethical brother. As a result of careless the young girl was ab",Drama,NULL
110 minutes,Helm Aziz,NULL,Null,"Aziz is a businessman who seeks to achieve his dreams at any cost, using his power and influence to further his interests without a care about anyone or anything. But fate lands him in a situation",Drama, 6 June 2012
25 minutes,Bulaq,NULL,Null,NULL,Documentary, 5 September 2011
95 minutes,Mosawer Qateel,All Ages,Null,"A photojournalist bears witness to a murder and takes photos of the incident, only to find himself involved in the crime. When he becomes a suspect, it's up to him to prove his innocence.",Crime, 5 December 2012
85 minutes,"The Virgin, the Copts and Me",All Ages,Null,"A non-believer born in Egypt and raised in France by his Copt parents, filmmaker Namir Abdel Messeeh has a complicated relationship with his ethnoreligious heritage. The Virgin, The Copts, And Me is",Comedy,12 May 2015
NULL,waiting,NULL,Null,NULL,NULL,NULL
90 minutes,Rad Fe'l,NULL,Null,"Officer Hassan investigates a murder, using the help of forensic doctor Saad al-Dumairi, who confirms that there is no criminal suspicion in the death, then several murders happen in the same",Crime,28 March 2012
120 minutes,Cima Ali Baba,NULL,Null,"The first part of the moves covers the story of Hazaloum who impersonates the identity of the leader of the planet Revo who looks just like him. In the second part, a rooster tries to protect the farm",Comedy, 2 November 2011
95 minutes,El- Haram Street,NULL,Null,A dancer leaves a folklore troupe to work in a nightclub on El-Haram street. Three men get into a conflict over her. Which one will she choose? ,Comedy,30 August 2011
120 minutes,Azazeel,NULL,Null,"The story of a Sheikh and his three disciples as he approaches death and advises the three of them to stay at his apartment for 30 days following his death. At the apartment, however, the devil Azazel",Horror,22 April 2015
95 minutes,Al-Fgomi,NULL,Null,"A biography about Ahmed Fouad Negm, the famous poet of the Egyptian colloquial, depicting the important historical and revolutionary stages, from his struggle fighting the English occupation and",Biography, 1 June 2011
90 minutes,Ana Badea Ya Wadia		,NULL,Null,"When Tohamy Pasha, a producer, tries to find a way to evade taxes, his associate Wadi' comes up with an unusual idea: to produce a bad movie that the audience won't see.",Comedy,30 August 2011
89 minutes,Me Or Him,NULL,Null,"A comedy that revolves around a journalist who faces many problems because of his ""Schizophrenia"", as he tries hard to defeat the evil side of him.",Comedy, 1 September 2011
122 minutes,Kafa alqamar,NULL,Null,"Following the death of her husband, Amar is left to carry out her deceased husband’s dream of building a brick house with her five children. The five boys move to Cairo to earn some money, but they",Drama, 2 November 2011
82 minutes,"Settou Zad, My first passion",NULL,Null,"The movie tells the story of the artistic life of ""Shahrazad"" through the details provided by her granddaughter.",Documentary,17 April 2013
63 minutes,A Deep Long Breath,NULL,Null,NULL,Drama,NULL
93 minutes,Fokak Menny		,NULL,Null,"Walid is a college student who wants to join the Arts Academy. But his father, a diplomat, wants him to go abroad to complete his political and economics studies. As his dreams go against his",Drama,29 June 2011
119 minutes,Bibo and Beshir,NULL,Null,"Bashir is an Egyptian young man who lived a big part of his life in Africa, when he returns to Egypt, he starts a friendship with Bebo, then they discover that they share the same apartment.",Comedy,30 August 2011
30 minutes,million to Ethiopia,NULL,Null,NULL,Short, 1 January 2011
100 minutes,"Tahrir 2011: The Good, The Bad and The Politician",NULL,Null,A documentary protraying 3 different perspectives of the egyptian revolution made by 3 different directors. ,Documentary, 7 December 2011
100 minutes,Wahid Saheeh,NULL,Null,"Abdullah's mother tries to convince him to marry, but he  has an affair with businesswoman Farida, while reporter Maryam seeks to marry him. His ex-girlfriend Nadine tries to get him back after",Drama,11 December 2011
130 minutes,X Large,All Ages,30226320,"Magdy is an overweight man who suffers from loneliness, in spite of having many friends who prefer talking to him about their problems, his obesity makes them not think of him as a husband. But when",Family, 2 November 2011
22 minutes,Haddotah Mn Saaj			,NULL,Null,"A short film based on a true story of a troubled young girl named Mona Farkha, as she recounts to the screenwriter Omar Khaled and director Aida El Kashef her difficult life story leading up to her",Short, 1 January 2011
7 minutes,The Doll,NULL,Null,NULL,Short,22 July 2011
12 minutes,Bard Yanayer,NULL,Null,NULL,Short, 1 October 2011
15 minutes,Pay back,NULL,Null,NULL,Short,27 October 2011
7 minutes,Book of the Entry,NULL,Null,NULL,Short, 1 January 2011
NULL,Proud To Be An Arab,NULL,Null,NULL,Short, 1 May 2014
NULL,Sariqcho,NULL,Null,NULL,Short, 6 February 2012
100 minutes,El Khoroug,+18,Null,"A raw depiction of life in modern-day Cairo about an ill-fated romance between a Coptic girl, Amal, and a Muslim youth named Tarek. Much like many other young men his age Tarek dreams of travelling",Romance,17 December 2010
109 minutes,Nazareyet Amity,All Ages,Null,"A famous talk show presenter gets into a number of comedic situations due to his growing fanbase. When the writer for his show falls for him, she seeks the advice of a men's expert to get him to",Romance, 7 August 2013
108 minutes,The Scheme,NULL,Null,"Set in a single place, a heinous crime is committed when an elderly man is murdered, and the fact that he had several enemies only makes it hard for the investigators to identify the culprits. ",Thriller, 1 January 2014
100 minutes,El Haramy wel Abeet,All Ages,Null,"Fathi, a foolish man down on his luck is befriended by Salah, who lost his eye in a brawl. Little does he know that Salah is scheming to steal his eye and has enlisted the help of his nurse friend",Drama,22 May 2013
70 minutes,Waves,NULL,Null,"The movie artistically merges real footage, archived shots and animated scenes to deliver a powerful narrative of Ahmed Nour's (director) family stories, his childhood memories of life in Suez,",Documentary,15 February 2017
90 minutes,Garconiera,Adults Only (18+),Null,"Set in a single location, an appartment that its owner call the Garconira, a thrilling sequence of events take place between three characters, the diplomat, his muse and a thief breaking into the",Action,28 December 2013
68 minutes,Elly Beyebb Rabena Yerfaa Edoo Lfou,All Ages,Null,"A documentary that covers the popularity of a new music genre, Mahragant, through the story of some Mahragant singers like Oka, Ortega, and Wezza, exploring how the new genre gained popularity so",Documentary,10 December 2013
NULL,Fill & Give Him,NULL,Null,NULL,NULL,NULL
